# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1669680156, 0, 387, 405, 272, 3, 0.90%, 16, 0, 15, 3585.65
1669680161, 0, 388, 407, 273, 2, 0.90%, 16, 0, 15, 3569.03
1669680166, 1, 46, 407, 267, 0, 0.90%, 16, 0, 15, 3607.99
1669680171, 1, 113, 408, 261, 0, 0.90%, 16, 0, 15, 3638.91
1669680176, 1, 125, 408, 257, 0, 0.90%, 16, 0, 15, 3669.08
1669680181, 1, 286, 410, 256, 1, 0.90%, 16, 0, 15, 3659.54
1669680187, 1, 353, 411, 256, 1, 0.90%, 16, 0, 15, 3612.01
1669680192, 2, 18, 413, 254, 0, 0.90%, 16, 0, 15, 3645.14
1669680197, 2, 87, 413, 250, 0, 0.90%, 16, 0, 15, 3629.02
1669680202, 2, 134, 414, 246, 0, 0.90%, 16, 0, 15, 3640.93
1669680207, 2, 294, 416, 245, 1, 0.91%, 16, 0, 15, 3649.29
1669680212, 2, 294, 421, 250, 1, 0.91%, 16, 0, 15, 3617.15
1669680217, 2, 421, 424, 250, 0, 0.91%, 16, 0, 15, 3639.24
1669680222, 3, 68, 424, 244, 0, 0.91%, 16, 0, 15, 3668.20
1669680227, 3, 99, 425, 240, 0, 0.91%, 16, 0, 15, 3678.76
1669680232, 3, 139, 425, 236, 0, 0.91%, 16, 0, 15, 3704.46
1669680237, 3, 155, 426, 233, 0, 0.91%, 16, 0, 15, 3711.61
1669680242, 3, 175, 426, 228, 0, 0.91%, 16, 0, 15, 3704.52
1669680247, 3, 187, 426, 224, 0, 0.91%, 16, 0, 15, 3664.69
1669680252, 3, 197, 426, 223, 0, 0.91%, 16, 0, 15, 3687.56
1669680257, 3, 222, 427, 220, 0, 0.91%, 16, 0, 15, 3692.71
1669680262, 3, 268, 428, 219, 0, 0.91%, 16, 0, 15, 3669.56
1669680267, 3, 274, 428, 217, 0, 0.91%, 16, 0, 15, 3665.55
1669680272, 3, 275, 429, 217, 0, 0.91%, 16, 0, 15, 3665.92
1669680277, 3, 299, 429, 214, 0, 0.91%, 16, 0, 15, 3669.42
1669680282, 3, 317, 429, 212, 0, 0.91%, 16, 0, 15, 3644.92
1669680287, 3, 320, 432, 214, 0, 0.91%, 16, 0, 15, 3631.64
1669680293, 3, 323, 433, 214, 0, 0.91%, 16, 0, 15, 3624.09
1669680298, 3, 327, 435, 215, 0, 0.91%, 16, 0, 15, 3583.62
1669680303, 3, 338, 437, 216, 0, 0.91%, 16, 0, 15, 3595.77
1669680308, 3, 348, 437, 215, 0, 0.91%, 16, 0, 15, 3607.60
1669680313, 3, 426, 440, 217, 1, 0.91%, 16, 0, 15, 3675.85
1669680318, 3, 437, 443, 219, 1, 0.91%, 16, 0, 15, 3642.14
1669680323, 3, 444, 445, 220, 1, 0.91%, 16, 0, 15, 3630.84
1669680328, 3, 444, 449, 224, 1, 0.91%, 16, 0, 15, 3626.49
1669680333, 4, 67, 449, 219, 0, 0.91%, 16, 0, 15, 3653.15
1669680338, 4, 110, 449, 214, 0, 0.91%, 16, 0, 15, 3636.23
1669680343, 4, 169, 449, 210, 0, 0.91%, 16, 0, 15, 3686.58
1669680349, 4, 189, 449, 206, 0, 0.91%, 16, 0, 15, 3660.57
1669680354, 4, 201, 450, 205, 0, 0.91%, 16, 0, 15, 3697.08
1669680359, 4, 224, 451, 204, 0, 0.91%, 16, 0, 15, 3704.60
1669680364, 4, 226, 451, 202, 0, 0.91%, 16, 0, 15, 3694.72
1669680369, 4, 229, 458, 208, 0, 0.91%, 16, 0, 15, 3653.61
1669680374, 4, 230, 461, 210, 0, 0.91%, 16, 0, 15, 3640.88
1669680379, 4, 252, 465, 213, 0, 0.91%, 16, 0, 15, 3652.62
1669680384, 4, 263, 465, 210, 0, 0.91%, 16, 0, 15, 3653.62
1669680389, 4, 270, 467, 211, 0, 0.91%, 16, 0, 15, 3637.87
1669680394, 4, 281, 467, 209, 0, 0.91%, 16, 0, 15, 3627.97
1669680400, 4, 304, 468, 208, 0, 0.91%, 16, 0, 15, 3628.13
1669680405, 4, 326, 469, 208, 0, 0.91%, 16, 0, 15, 3621.78
1669680410, 4, 332, 470, 207, 0, 0.91%, 16, 0, 15, 3626.67
1669680415, 4, 342, 471, 206, 0, 0.91%, 16, 0, 15, 3617.72
1669680420, 4, 345, 471, 204, 0, 0.91%, 16, 0, 15, 3581.33
1669680425, 4, 361, 471, 202, 0, 0.91%, 16, 0, 15, 3600.10
1669680430, 4, 366, 472, 202, 0, 0.91%, 16, 0, 15, 3592.54
1669680435, 4, 369, 476, 205, 0, 0.91%, 16, 0, 15, 3626.16
1669680440, 4, 370, 477, 205, 0, 0.91%, 16, 0, 15, 3636.72
1669680445, 4, 374, 477, 204, 0, 0.91%, 16, 0, 15, 3614.77
1669680450, 4, 390, 477, 203, 0, 0.91%, 16, 0, 15, 3541.70
1669680455, 4, 390, 479, 205, 0, 0.91%, 16, 0, 15, 3553.01
1669680460, 4, 390, 483, 209, 0, 0.91%, 16, 0, 15, 3565.12
1669680466, 4, 391, 483, 208, 0, 0.91%, 16, 0, 15, 3539.42
1669680471, 4, 391, 487, 212, 0, 0.91%, 16, 0, 15, 3568.12
1669680476, 4, 400, 488, 212, 0, 0.91%, 16, 0, 15, 3575.04
1669680481, 4, 406, 488, 211, 0, 0.91%, 16, 0, 15, 3519.88
1669680486, 4, 406, 489, 212, 0, 0.91%, 16, 0, 16, 3549.38
1669680491, 4, 419, 490, 211, 0, 0.91%, 16, 0, 16, 3621.71
1669680496, 4, 419, 492, 213, 0, 0.91%, 16, 0, 16, 3619.38
1669680501, 4, 422, 494, 214, 0, 0.91%, 16, 0, 16, 3653.34
1669680506, 4, 435, 496, 215, 0, 0.91%, 16, 0, 16, 3594.35
1669680511, 4, 439, 497, 215, 0, 0.91%, 16, 0, 16, 3669.13
1669680517, 4, 443, 498, 215, 0, 0.91%, 16, 0, 16, 3591.74
1669680522, 4, 443, 501, 218, 0, 0.91%, 16, 0, 16, 3587.09
1669680527, 4, 453, 501, 217, 1, 0.91%, 16, 0, 16, 3606.94
1669680537, 4, 461, 501, 216, 1, 0.91%, 16, 0, 16, 3522.88
1669680562, 4, 497, 501, 215, 1, 0.91%, 16, 0, 16, 3491.96
1669680573, 5, 30, 501, 210, 0, 0.91%, 16, 0, 16, 3611.88
1669680578, 5, 136, 501, 204, 0, 0.91%, 16, 0, 16, 3632.88
1669680583, 5, 170, 502, 202, 0, 0.91%, 16, 0, 16, 3681.13
1669680588, 5, 206, 503, 200, 0, 0.91%, 16, 0, 16, 3672.26
1669680593, 5, 220, 505, 200, 0, 0.91%, 16, 0, 16, 3669.16
1669680598, 5, 249, 507, 200, 0, 0.91%, 16, 0, 16, 3658.91
1669680603, 5, 266, 507, 198, 0, 0.91%, 16, 0, 16, 3636.24
1669680608, 5, 279, 507, 197, 0, 0.91%, 16, 0, 16, 3595.37
1669680613, 5, 309, 507, 195, 0, 0.91%, 16, 0, 16, 3621.82
1669680618, 5, 336, 507, 195, 0, 0.91%, 16, 0, 16, 3597.92
1669680623, 5, 343, 507, 193, 0, 0.91%, 16, 0, 16, 3569.32
1669680628, 5, 352, 507, 192, 0, 0.91%, 16, 0, 16, 3607.10
1669680633, 5, 358, 507, 190, 0, 0.91%, 16, 0, 16, 3606.03
1669680638, 5, 378, 507, 189, 0, 0.91%, 16, 0, 16, 3590.79
1669680643, 5, 386, 507, 188, 0, 0.91%, 16, 0, 16, 3560.65
1669680648, 5, 392, 507, 187, 0, 0.91%, 16, 0, 16, 3567.33
1669680653, 5, 428, 507, 185, 0, 0.91%, 16, 0, 16, 3628.99
1669680658, 5, 429, 507, 184, 0, 0.91%, 16, 0, 16, 3624.54
1669680663, 5, 429, 508, 185, 0, 0.92%, 16, 0, 16, 3615.24
1669680668, 5, 507, 509, 185, 1, 0.92%, 16, 0, 16, 3587.85
1669680673, 5, 507, 515, 191, 1, 0.93%, 16, 0, 16, 3585.37
1669680679, 5, 508, 516, 191, 2, 0.93%, 16, 0, 16, 3597.25
1669680689, 5, 515, 516, 190, 1, 0.93%, 16, 0, 16, 3546.07
1669680694, 5, 515, 520, 194, 1, 0.93%, 16, 0, 16, 3563.67
1669680699, 5, 515, 522, 196, 1, 0.93%, 16, 0, 16, 3591.23
1669680704, 5, 518, 523, 196, 1, 0.93%, 16, 0, 16, 3477.98
1669680714, 5, 518, 533, 206, 1, 0.93%, 16, 0, 16, 3524.30
1669680719, 5, 520, 533, 205, 1, 0.93%, 16, 0, 16, 3537.47
1669680725, 5, 520, 534, 206, 1, 0.93%, 16, 0, 16, 3445.50
1669680730, 5, 520, 536, 208, 1, 0.93%, 16, 0, 16, 3467.38
1669680735, 5, 520, 541, 213, 1, 0.93%, 16, 0, 16, 3539.24
1669680740, 5, 540, 541, 212, 1, 0.93%, 16, 0, 16, 3516.20
1669680750, 5, 540, 542, 213, 1, 0.93%, 16, 0, 16, 3505.97
1669680755, 5, 540, 544, 215, 1, 0.93%, 16, 0, 16, 3549.36
1669680760, 6, 72, 544, 211, 0, 0.93%, 16, 0, 16, 3631.85
1669680765, 6, 181, 544, 206, 0, 0.93%, 16, 0, 16, 3639.60
1669680770, 6, 193, 544, 204, 0, 0.93%, 16, 0, 16, 3616.50
